question_set,selected_system,n,mean_brier,calibration_error,mean_market_sharpness,mean_base_prior_sharpness,mean_horizon_days,mean_evidence_strength,mean_source_hist_coverage
2025-03-02-llm,aia_baseline,641,0.2538690554627436,0.23244760152307417,0.05778019993771317,0.16387224361946046,136.10140405616224,0.3482497354063255,0.8549389594631405
2025-03-02-llm,historical_analog,893,0.1742038910699544,0.08175436059828171,9.176113609420927e-05,0.26264047334214125,134.82866741321388,0.4603084336320701,0.3460246360582307
2025-03-02-llm,search_llm_loop,1,0.5676393707409719,0.7534184565969777,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9841269841269841
2025-03-16-llm,aia_baseline,640,0.241072342476479,0.18167984975060397,0.059434699400625,0.167623761900625,134.6453125,0.34592204066150006,0.8131448412698413
2025-03-16-llm,historical_analog,894,0.1689797066607932,0.0833194652591348,8.681056968053242e-05,0.2645017993839982,135.40604026845637,0.4634103248088963,0.34116331096196867
2025-03-16-llm,search_llm_loop,5,0.26353722282459874,0.15341845659697773,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9174603174603174
2025-03-30-llm,aia_baseline,639,0.2369094614182579,0.18675735700727794,0.05681929760664452,0.16387250574435971,131.76682316118936,0.3484624751178295,0.8545594554984226
2025-03-30-llm,historical_analog,898,0.149975975857148,0.08128645354582101,0.0001013713378091325,0.2651715272398136,135.87750556792872,0.4646876812401149,0.33184855233853006
2025-03-30-llm,search_llm_loop,2,0.3142209141439942,0.2534184565969777,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9682539682539683
2025-04-13-llm,aia_baseline,630,0.2192916365415883,0.15633661475277236,0.05638552733825878,0.16640616225889368,133.73174603174604,0.35706287536625997,0.849242191500256
2025-04-13-llm,historical_analog,898,0.13581905315282164,0.09886630891445859,0.00010557020720236645,0.2648221626348193,135.11692650334075,0.4633466731127854,0.33853006681514475
2025-04-13-llm,search_llm_loop,1,0.06080245754701657,0.2465815434030223,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9774193548387097
2025-04-27-llm,aia_baseline,639,0.21966332747433573,0.18109738432028083,0.05201157662066716,0.16279248428889878,132.1846635367762,0.3555014948677351,0.8529945102715055
2025-04-27-llm,historical_analog,920,0.17028938806322297,0.05013478294185231,9.378652884916964e-05,0.2624258517462405,135.17065217391306,0.4611664025302712,0.33152173913043476
2025-04-27-llm,search_llm_loop,2,0.3142209141439942,0.2534184565969777,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9682539682539683
2025-05-11-llm,aia_baseline,641,0.2281109068403642,0.0663115859035116,0.0532668609265874,0.16041662691722705,133.31201248049922,0.35742452133009445,0.8580640368471881
2025-05-11-llm,historical_analog,888,0.1564023293610073,0.09196045228873795,0.00012440088323237942,0.2652916306129621,135.12274774774775,0.4644272652941131,0.34121621621621623
2025-05-11-llm,search_llm_loop,1,0.06080245754701657,0.2465815434030223,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9809523809523809
2025-05-25-llm,aia_baseline,646,0.2262061113771675,0.15642765442691153,0.05651032757048164,0.1660536712237324,133.83436532507739,0.35633182280195586,0.8467741935483871
2025-05-25-llm,historical_analog,858,0.16217485312708294,0.06812241668371212,5.827505827505833e-06,0.265270979020979,135.01282051282053,0.4646914335664336,0.34615384615384615
2025-05-25-llm,search_llm_loop,1,0.06080245754701657,0.2465815434030223,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9838709677419355
2025-06-08-llm,aia_baseline,622,0.22582635126283004,0.06688898346770226,0.056884250113265124,0.16541961988818474,132.975884244373,0.3540414640800736,0.8424709793449233
2025-06-08-llm,historical_analog,884,0.16534013706238776,0.08545265039502865,0.0,0.26411199095022625,134.54185520361992,0.46412273755656114,0.3427601809954751
2025-06-08-llm,search_llm_loop,1,0.06080245754701657,0.2465815434030223,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9830508474576272
2025-06-22-llm,aia_baseline,655,0.21080322793382533,0.09269852402014096,0.06304718861482021,0.16840138708810265,131.03969465648854,0.3552792277041438,0.8336878988862471
2025-06-22-llm,historical_analog,803,0.17276992270571462,0.10803381721039952,1.643835616438355e-05,0.25354383561643834,116.63511830635119,0.4514352303860523,0.36488169364881695
2025-06-22-llm,search_llm_loop,2,0.06080245754701657,0.2465815434030223,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9672131147540983
2025-08-03-llm,aia_baseline,535,0.20577302558342755,0.06989573387006426,0.06771001163436516,0.17026889013903806,84.26168224299066,0.3465784714643525,0.8168530718553699
2025-08-03-llm,historical_analog,700,0.1549461990499237,0.11045013334783708,2.6494129821358505e-05,0.26730006555839275,77.35428571428571,0.4626857215272142,0.3414285714285714
2025-08-03-llm,search_llm_loop,1,0.5676393707409719,0.7534184565969777,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9836065573770492
2025-08-17-llm,aia_baseline,517,0.20545541571901688,0.15075180346119027,0.07333397075911258,0.17372275219044722,82.678916827853,0.3471077248518298,0.7875341826185552
2025-08-17-llm,historical_analog,695,0.16350098625712894,0.07436296333819183,9.602622507168205e-05,0.26747516291571916,77.22446043165468,0.4615000516139709,0.3410071942446043
2025-08-17-llm,search_llm_loop,3,0.22974809527833503,0.08675178993031096,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9482758620689656
2025-08-31-llm,aia_baseline,752,0.21783232505306055,0.06286325800037239,0.045870132699601066,0.15711348376343084,79.69148936170212,0.33262710807574475,0.8804063480990583
2025-08-31-llm,historical_analog,459,0.09810882749008998,0.07646630220893247,0.0001841671326797387,0.3350240364137255,76.92592592592592,0.5444123948947277,0.0
2025-08-31-llm,search_llm_loop,2,0.5676393707409719,0.7534184565969777,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9672131147540983
2025-10-26-llm,aia_baseline,488,0.19773242137965916,0.09185830861535692,0.09152843612643552,0.1903788459625011,73.49180327868852,0.3826737348728818,0.7827868852459017
2025-10-26-llm,historical_analog,589,0.17379236648720103,0.06211869541120672,4.244482173174867e-05,0.26531409168081493,77.1528013582343,0.4599794567062819,0.33276740237691
2025-11-09-llm,aia_baseline,450,0.19478648261275697,0.10927963008321119,0.0942341553329796,0.19013859977742403,72.17777777777778,0.3738019238212354,0.7689333333333332
2025-11-09-llm,historical_analog,581,0.1624753311608907,0.059178054566754526,7.521600011321682e-05,0.26613373579357275,77.26506024096386,0.46023733321046295,0.33562822719449226
2025-11-09-llm,search_llm_loop,1,0.5676393707409719,0.7534184565969777,0.0,0.19700000000000006,90.0,0.5707000000000003,0.98
2025-11-23-llm,aia_baseline,682,0.22687849379225247,0.12511040034858156,0.06799732311223375,0.17677591548760033,72.92815249266862,0.3587179300302698,0.8475073313782991
2025-11-23-llm,historical_analog,383,0.14921299401801916,0.0596313770560136,0.00013647102977620376,0.33221480001149944,76.89033942558747,0.5414013631469586,0.0
2025-12-07-llm,aia_baseline,476,0.21246239196232927,0.0687353200436751,0.08845335280021008,0.1880752015397059,67.8298319327731,0.36277821560201684,0.7983193277310925
2025-12-07-llm,historical_analog,578,0.16330800515991623,0.06902248620729295,0.0,0.2672041522491349,76.99134948096886,0.46341851211072665,0.34256055363321797
